GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS
22200158,22101020,2022-03-14T00:00:00,1610612746,LA,Clippers,LAC,111,1610612739,Cleveland,Cavaliers,CLE,120
22200159,22100439,2021-12-17T00:00:00,1610612766,Charlotte,Hornets,CHA,116,1610612757,Portland,Trail Blazers,POR,125
22200160,22101137,2022-03-30T00:00:00,1610612754,Indiana,Pacers,IND,118,1610612743,Denver,Nuggets,DEN,125
22200161,22200093,2022-10-30T00:00:00,1610612753,Orlando,Magic,ORL,105,1610612742,Dallas,Mavericks,DAL,114
22200162,22100156,2021-11-09T00:00:00,1610612737,Atlanta,Hawks,ATL,98,1610612762,Utah,Jazz,UTA,110
22200163,22100997,2022-03-11T00:00:00,1610612738,Boston,Celtics,BOS,114,1610612765,Detroit,Pistons,DET,103
22200164,22101191,2022-04-06T00:00:00,1610612751,Brooklyn,Nets,BKN,110,1610612752,New York,Knicks,NYK,98
22200165,12200032,2022-10-07T00:00:00,1610612761,Toronto,Raptors,TOR,100,1610612745,Houston,Rockets,HOU,116
22200166,12200016,2022-10-04T00:00:00,1610612741,Chicago,Bulls,CHI,125,1610612740,New Orleans,Pelicans,NOP,129
22200167,22200106,2022-11-01T00:00:00,1610612750,Minnesota,Timberwolves,MIN,107,1610612756,Phoenix,Suns,PHX,116
22200168,22200136,2022-11-05T00:00:00,1610612760,Oklahoma City,Thunder,OKC,94,1610612749,Milwaukee,Bucks,MIL,108
22200169,22101144,2022-03-30T00:00:00,1610612759,San Antonio,Spurs,SAS,111,1610612763,Memphis,Grizzlies,MEM,112
22200170,22200016,2022-10-20T00:00:00,1610612746,LA,Clippers,LAC,103,1610612747,Los Angeles,Lakers,LAL,97
22200171,22100611,2022-01-10T00:00:00,1610612758,Sacramento,Kings,SAC,108,1610612739,Cleveland,Cavaliers,CLE,109
22200172,22101152,2022-04-01T00:00:00,1610612764,Washington,Wizards,WAS,135,1610612742,Dallas,Mavericks,DAL,103
22200173,22100478,2021-12-23T00:00:00,1610612737,Atlanta,Hawks,ATL,98,1610612755,Philadelphia,76ers,PHI,96
22200174,22101181,2022-04-05T00:00:00,1610612748,Miami,Heat,MIA,144,1610612766,Charlotte,Hornets,CHA,115
22200175,22101200,2022-04-07T00:00:00,1610612740,New Orleans,Pelicans,NOP,127,1610612757,Portland,Trail Blazers,POR,94
22200176,22101068,2022-03-20T00:00:00,1610612738,Boston,Celtics,BOS,124,1610612743,Denver,Nuggets,DEN,104
22200177,22100977,2022-03-08T00:00:00,1610612753,Orlando,Magic,ORL,99,1610612756,Phoenix,Suns,PHX,102
22200178,22200023,2022-10-21T00:00:00,1610612752,New York,Knicks,NYK,130,1610612765,Detroit,Pistons,DET,106
22200179,22100827,2022-02-09T00:00:00,1610612760,Oklahoma City,Thunder,OKC,98,1610612761,Toronto,Raptors,TOR,117
22200180,22100085,2021-10-30T00:00:00,1610612759,San Antonio,Spurs,SAS,102,1610612749,Milwaukee,Bucks,MIL,93
22200181,42100156,2022-04-29T00:00:00,1610612763,Memphis,Grizzlies,MEM,114,1610612750,Minnesota,Timberwolves,MIN,106
22200182,22100604,2022-01-09T00:00:00,1610612744,Golden State,Warriors,GSW,96,1610612739,Cleveland,Cavaliers,CLE,82
22200183,12200070,2022-10-14T00:00:00,1610612747,Los Angeles,Lakers,LAL,86,1610612758,Sacramento,Kings,SAC,133
22200184,22100542,2022-01-01T00:00:00,1610612746,LA,Clippers,LAC,120,1610612751,Brooklyn,Nets,BKN,116
22200185,22100447,2021-12-18T00:00:00,1610612764,Washington,Wizards,WAS,109,1610612762,Utah,Jazz,UTA,103
22200186,22200163,2022-11-09T00:00:00,1610612765,Detroit,Pistons,DET,112,1610612738,Boston,Celtics,BOS,128
22200187,22101109,2022-03-26T00:00:00,1610612754,Indiana,Pacers,IND,91,1610612761,Toronto,Raptors,TOR,131
22200188,22200173,2022-11-10T00:00:00,1610612755,Philadelphia,76ers,PHI,95,1610612737,Atlanta,Hawks,ATL,104
22200189,22200174,2022-11-10T00:00:00,1610612748,Miami,Heat,MIA,117,1610612766,Charlotte,Hornets,CHA,112
22200190,22101209,2022-04-08T00:00:00,1610612742,Dallas,Mavericks,DAL,128,1610612757,Portland,Trail Blazers,POR,78
22200191,22101017,2022-03-13T00:00:00,1610612740,New Orleans,Pelicans,NOP,130,1610612745,Houston,Rockets,HOU,105
22200192,22100860,2022-02-14T00:00:00,1610612752,New York,Knicks,NYK,123,1610612760,Oklahoma City,Thunder,OKC,127
22200193,22100920,2022-02-28T00:00:00,1610612739,Cleveland,Cavaliers,CLE,122,1610612750,Minnesota,Timberwolves,MIN,127
22200194,22200142,2022-11-06T00:00:00,1610612764,Washington,Wizards,WAS,97,1610612763,Memphis,Grizzlies,MEM,103
22200195,22100379,2021-12-09T00:00:00,1610612755,Philadelphia,76ers,PHI,96,1610612762,Utah,Jazz,UTA,118
22200196,12200031,2022-10-07T00:00:00,1610612741,Chicago,Bulls,CHI,131,1610612743,Denver,Nuggets,DEN,113
22200197,22200156,2022-11-07T00:00:00,1610612758,Sacramento,Kings,SAC,113,1610612744,Golden State,Warriors,GSW,116
22200198,22100718,2022-01-25T00:00:00,1610612747,Los Angeles,Lakers,LAL,106,1610612751,Brooklyn,Nets,BKN,96
22200199,22100942,2022-03-03T00:00:00,1610612765,Detroit,Pistons,DET,108,1610612761,Toronto,Raptors,TOR,106
22200200,22200071,2022-10-28T00:00:00,1610612753,Orlando,Magic,ORL,113,1610612766,Charlotte,Hornets,CHA,93
22200201,22101078,2022-03-21T00:00:00,1610612738,Boston,Celtics,BOS,132,1610612760,Oklahoma City,Thunder,OKC,123
22200202,22100983,2022-03-09T00:00:00,1610612748,Miami,Heat,MIA,90,1610612756,Phoenix,Suns,PHX,111
22200203,22200112,2022-11-02T00:00:00,1610612745,Houston,Rockets,HOU,101,1610612746,LA,Clippers,LAC,109
22200204,22200149,2022-11-07T00:00:00,1610612749,Milwaukee,Bucks,MIL,98,1610612737,Atlanta,Hawks,ATL,117
22200205,22101215,2022-04-09T00:00:00,1610612744,Golden State,Warriors,GSW,100,1610612759,San Antonio,Spurs,SAS,94
22200206,22101213,2022-04-09T00:00:00,1610612740,New Orleans,Pelicans,NOP,114,1610612763,Memphis,Grizzlies,MEM,141
22200207,22100853,2022-02-12T00:00:00,1610612742,Dallas,Mavericks,DAL,97,1610612746,LA,Clippers,LAC,99
22200208,22101067,2022-03-20T00:00:00,1610612762,Utah,Jazz,UTA,108,1610612752,New York,Knicks,NYK,93
22200209,22101175,2022-04-03T00:00:00,1610612757,Portland,Trail Blazers,POR,92,1610612759,San Antonio,Spurs,SAS,113
22200210,22100859,2022-02-14T00:00:00,1610612758,Sacramento,Kings,SAC,85,1610612751,Brooklyn,Nets,BKN,109
22200211,12200018,2022-10-05T00:00:00,1610612766,Charlotte,Hornets,CHA,97,1610612754,Indiana,Pacers,IND,122
22200212,22100995,2022-03-11T00:00:00,1610612753,Orlando,Magic,ORL,118,1610612750,Minnesota,Timberwolves,MIN,110
22200213,22100612,2022-01-11T00:00:00,1610612764,Washington,Wizards,WAS,122,1610612760,Oklahoma City,Thunder,OKC,118
22200214,22100927,2022-03-01T00:00:00,1610612737,Atlanta,Hawks,ATL,98,1610612738,Boston,Celtics,BOS,107
22200215,22200045,2022-10-24T00:00:00,1610612761,Toronto,Raptors,TOR,98,1610612748,Miami,Heat,MIA,90
22200216,22101218,2022-04-10T00:00:00,1610612749,Milwaukee,Bucks,MIL,115,1610612739,Cleveland,Cavaliers,CLE,133
22200217,22200166,2022-11-09T00:00:00,1610612740,New Orleans,Pelicans,NOP,115,1610612741,Chicago,Bulls,CHI,111
22200218,22101092,2022-03-23T00:00:00,1610612742,Dallas,Mavericks,DAL,110,1610612745,Houston,Rockets,HOU,91
22200219,22100821,2022-02-08T00:00:00,1610612743,Denver,Nuggets,DEN,132,1610612752,New York,Knicks,NYK,115
22200220,22200055,2022-10-25T00:00:00,1610612756,Phoenix,Suns,PHX,134,1610612744,Golden State,Warriors,GSW,105
